Ticket (bought) Payout
  2     (8)     0
  5     (25)     2
  7     (21)     71
  10     (47)     12
  11     (81)     91
  13     (7)     0
  14     (59)     8
  23     (80)     14
  24     (89)     53
  27     (41)     4
  31     (31)     6
  39     (96)     57
  40     (50)     8
  43     (11)     4
  44     (57)     8
  48     (87)     10
  55     (22)     6
  59     (33)     6
  60     (95)     14
  61     (35)     4
  63     (68)     10
  72     (10)     4
  73     (97)     12
  78     (23)     2
  79     (90)     10
  80     (81)     10
  81     (24)     2
  89     (44)     6
  90     (27)     4
  95     (64)     8
  97     (60)     8
  1     (90)     4
  8     (63)     8
  18     (92)     0
  19     (98)     4
  26     (5)     0
  30     (91)     42
  32     (98)     0
  37     (77)     2
  45     (94)     4
  47     (26)     0
  50     (59)     2
  52     (49)     2
  54     (57)     57
  69     (13)     0
  70     (22)     0
  74     (31)     0
  75     (86)     12
  77     (29)     0
  85     (28)     2
  94     (19)     0
  96     (42)     6
  4     (57)     22
  6     (12)     8
  9     (26)     6
  12     (88)     22
  15     (80)     18
  16     (94)     36
  17     (1)     0
  20     (5)     2
  22     (34)     10
  25     (99)     350
  29     (94)     26
  33     (20)     6
  34     (95)     36
  35     (53)     12
  36     (15)     6
  38     (32)     8
  42     (97)     22
  56     (99)     26
  66     (64)     22
  67     (73)     16
  68     (74)     18
  71     (34)     8
  82     (41)     10
  83     (5)     2
  86     (80)     18
  87     (86)     20
  88     (79)     18
  92     (89)     20
  99     (19)     4
  0     (26)     26
  3     (95)     1101
  21     (55)     57
  28     (16)     16
  41     (83)     87
  46     (9)     10
  49     (78)     117
  51     (49)     51
  53     (77)     85
  57     (20)     40
  58     (12)     18
  62     (43)     65
  64     (43)     47
  65     (84)     89
  76     (82)     89
  84     (76)     81
  91     (15)     16
  93     (20)     20
  98     (66)     69


 Total bought 5326
 Total payout 3455
