Ticket (bought) Payout
  0     (26)     114
  3     (95)     110
  21     (55)     15
  28     (16)     7
  41     (83)     44
  46     (9)     6
  49     (78)     30
  51     (49)     31
  53     (77)     90
  57     (20)     5
  58     (12)     7
  62     (43)     11
  64     (43)     11
  65     (84)     52
  76     (82)     22
  84     (76)     39
  91     (15)     5
  93     (20)     5
  98     (66)     21
  2     (8)     2
  5     (25)     263
  7     (21)     5
  10     (47)     16
  11     (81)     25
  13     (7)     4
  14     (59)     16
  23     (80)     20
  24     (89)     384
  27     (41)     10
  31     (31)     11
  39     (96)     57
  40     (50)     14
  43     (11)     2
  44     (57)     20
  48     (87)     22
  55     (22)     5
  59     (33)     9
  60     (95)     25
  61     (35)     12
  63     (68)     17
  72     (10)     4
  73     (97)     23
  78     (23)     6
  79     (90)     22
  80     (81)     20
  81     (24)     6
  89     (44)     11
  90     (27)     6
  95     (64)     16
  97     (60)     15
  1     (90)     54
  8     (63)     686
  18     (92)     58
  19     (98)     59
  26     (5)     54
  30     (91)     88
  32     (98)     62
  37     (77)     47
  45     (94)     81
  47     (26)     16
  50     (59)     43
  52     (49)     30
  54     (57)     35
  69     (13)     7
  70     (22)     16
  74     (31)     19
  75     (86)     58
  77     (29)     21
  85     (28)     19
  94     (19)     11
  96     (42)     26
  4     (57)     4
  6     (12)     11
  9     (26)     1
  12     (88)     79
  15     (80)     21
  16     (94)     11
  17     (1)     0
  20     (5)     0
  22     (34)     138
  25     (99)     0
  29     (94)     0
  33     (20)     5
  34     (95)     0
  35     (53)     0
  36     (15)     0
  38     (32)     0
  42     (97)     1
  56     (99)     0
  66     (64)     0
  67     (73)     1
  68     (74)     5
  71     (34)     1
  82     (41)     0
  83     (5)     0
  86     (80)     0
  87     (86)     0
  88     (79)     0
  92     (89)     0
  99     (19)     0


 Total bought 5326
 Total payout 3461
