Ticket (bought) Payout
  1     (90)     10
  8     (63)     6
  18     (92)     14
  19     (98)     9
  26     (5)     28
  30     (91)     121
  32     (98)     10
  37     (77)     208
  45     (94)     10
  47     (26)     8
  50     (59)     6
  52     (49)     5
  54     (57)     17
  69     (13)     3
  70     (22)     2
  74     (31)     5
  75     (86)     9
  77     (29)     5
  85     (28)     2
  94     (19)     3
  96     (42)     5
  4     (57)     357
  6     (12)     7
  9     (26)     15
  12     (88)     59
  15     (80)     125
  16     (94)     589
  17     (1)     0
  20     (5)     2
  22     (34)     20
  25     (99)     67
  29     (94)     52
  33     (20)     16
  34     (95)     73
  35     (53)     40
  36     (15)     9
  38     (32)     22
  42     (97)     57
  56     (99)     56
  66     (64)     36
  67     (73)     41
  68     (74)     41
  71     (34)     20
  82     (41)     23
  83     (5)     2
  86     (80)     44
  87     (86)     48
  88     (79)     44
  92     (89)     50
  99     (19)     10
  0     (26)     3
  3     (95)     12
  21     (55)     8
  28     (16)     18
  41     (83)     18
  46     (9)     1
  49     (78)     24
  51     (49)     16
  53     (77)     86
  57     (20)     2
  58     (12)     2
  62     (43)     6
  64     (43)     9
  65     (84)     9
  76     (82)     14
  84     (76)     9
  91     (15)     1
  93     (20)     2
  98     (66)     8
  2     (8)     2
  5     (25)     6
  7     (21)     5
  10     (47)     59
  11     (81)     24
  13     (7)     1
  14     (59)     167
  23     (80)     226
  24     (89)     20
  27     (41)     10
  31     (31)     7
  39     (96)     23
  40     (50)     11
  43     (11)     2
  44     (57)     25
  48     (87)     22
  55     (22)     6
  59     (33)     9
  60     (95)     33
  61     (35)     8
  63     (68)     16
  72     (10)     2
  73     (97)     23
  78     (23)     6
  79     (90)     20
  80     (81)     19
  81     (24)     6
  89     (44)     10
  90     (27)     7
  95     (64)     15
  97     (60)     14


 Total bought 5326
 Total payout 3463
