Ticket (bought) Payout
  1     (90)     478
  8     (63)     46
  18     (92)     69
  19     (98)     46
  26     (5)     8
  30     (91)     42
  32     (98)     59
  37     (77)     274
  45     (94)     43
  47     (26)     12
  50     (59)     32
  52     (49)     23
  54     (57)     42
  69     (13)     9
  70     (22)     9
  74     (31)     23
  75     (86)     53
  77     (29)     14
  85     (28)     15
  94     (19)     8
  96     (42)     19
  4     (57)     16
  6     (12)     0
  9     (26)     3
  12     (88)     90
  15     (80)     3
  16     (94)     3
  17     (1)     0
  20     (5)     15
  22     (34)     5
  25     (99)     30
  29     (94)     1
  33     (20)     5
  34     (95)     1
  35     (53)     4
  36     (15)     0
  38     (32)     5
  42     (97)     16
  56     (99)     3
  66     (64)     5
  67     (73)     3
  68     (74)     3
  71     (34)     0
  82     (41)     0
  83     (5)     0
  86     (80)     1
  87     (86)     1
  88     (79)     1
  92     (89)     1
  99     (19)     0
  0     (26)     18
  3     (95)     53
  21     (55)     201
  28     (16)     26
  41     (83)     131
  46     (9)     5
  49     (78)     45
  51     (49)     266
  53     (77)     282
  57     (20)     31
  58     (12)     7
  62     (43)     24
  64     (43)     28
  65     (84)     46
  76     (82)     47
  84     (76)     63
  91     (15)     11
  93     (20)     11
  98     (66)     36
  2     (8)     3
  5     (25)     1
  7     (21)     7
  10     (47)     49
  11     (81)     3
  13     (7)     1
  14     (59)     3
  23     (80)     392
  24     (89)     28
  27     (41)     14
  31     (31)     5
  39     (96)     4
  40     (50)     1
  43     (11)     3
  44     (57)     18
  48     (87)     27
  55     (22)     1
  59     (33)     1
  60     (95)     4
  61     (35)     1
  63     (68)     4
  72     (10)     0
  73     (97)     4
  78     (23)     1
  79     (90)     3
  80     (81)     3
  81     (24)     1
  89     (44)     1
  90     (27)     1
  95     (64)     3
  97     (60)     1


 Total bought 5326
 Total payout 3458
