Ticket (bought) Payout
  0     (26)     70
  3     (95)     104
  21     (55)     60
  28     (16)     17
  41     (83)     95
  46     (9)     10
  49     (78)     197
  51     (49)     131
  53     (77)     87
  57     (20)     22
  58     (12)     12
  62     (43)     49
  64     (43)     53
  65     (84)     92
  76     (82)     92
  84     (76)     84
  91     (15)     17
  93     (20)     22
  98     (66)     73
  2     (8)     1
  5     (25)     1
  7     (21)     0
  10     (47)     4
  11     (81)     4
  13     (7)     0
  14     (59)     113
  23     (80)     4
  24     (89)     3
  27     (41)     2
  31     (31)     0
  39     (96)     6
  40     (50)     2
  43     (11)     0
  44     (57)     3
  48     (87)     6
  55     (22)     0
  59     (33)     3
  60     (95)     3
  61     (35)     2
  63     (68)     3
  72     (10)     0
  73     (97)     5
  78     (23)     0
  79     (90)     3
  80     (81)     3
  81     (24)     0
  89     (44)     2
  90     (27)     0
  95     (64)     2
  97     (60)     2
  1     (90)     101
  8     (63)     78
  18     (92)     103
  19     (98)     267
  26     (5)     6
  30     (91)     113
  32     (98)     295
  37     (77)     87
  45     (94)     105
  47     (26)     29
  50     (59)     69
  52     (49)     56
  54     (57)     66
  69     (13)     15
  70     (22)     25
  74     (31)     36
  75     (86)     100
  77     (29)     32
  85     (28)     32
  94     (19)     21
  96     (42)     47
  4     (57)     53
  6     (12)     1
  9     (26)     4
  12     (88)     6
  15     (80)     154
  16     (94)     6
  17     (1)     0
  20     (5)     4
  22     (34)     2
  25     (99)     17
  29     (94)     8
  33     (20)     1
  34     (95)     4
  35     (53)     9
  36     (15)     1
  38     (32)     2
  42     (97)     4
  56     (99)     6
  66     (64)     4
  67     (73)     4
  68     (74)     4
  71     (34)     2
  82     (41)     2
  83     (5)     0
  86     (80)     4
  87     (86)     4
  88     (79)     4
  92     (89)     4
  99     (19)     1


 Total bought 5326
 Total payout 3462
