Ticket (bought) Payout
  4     (57)     11
  6     (12)     25
  9     (26)     54
  12     (88)     233
  15     (80)     44
  16     (94)     52
  17     (1)     0
  20     (5)     1
  22     (34)     5
  25     (99)     18
  29     (94)     19
  33     (20)     3
  34     (95)     18
  35     (53)     12
  36     (15)     2
  38     (32)     5
  42     (97)     18
  56     (99)     18
  66     (64)     11
  67     (73)     13
  68     (74)     18
  71     (34)     5
  82     (41)     9
  83     (5)     1
  86     (80)     14
  87     (86)     15
  88     (79)     14
  92     (89)     15
  99     (19)     3
  0     (26)     1
  3     (95)     0
  21     (55)     0
  28     (16)     4
  41     (83)     5
  46     (9)     0
  49     (78)     147
  51     (49)     14
  53     (77)     29
  57     (20)     1
  58     (12)     1
  62     (43)     0
  64     (43)     0
  65     (84)     4
  76     (82)     1
  84     (76)     1
  91     (15)     1
  93     (20)     5
  98     (66)     1
  2     (8)     4
  5     (25)     147
  7     (21)     12
  10     (47)     27
  11     (81)     73
  13     (7)     7
  14     (59)     346
  23     (80)     468
  24     (89)     58
  27     (41)     40
  31     (31)     21
  39     (96)     64
  40     (50)     30
  43     (11)     7
  44     (57)     37
  48     (87)     78
  55     (22)     13
  59     (33)     22
  60     (95)     62
  61     (35)     23
  63     (68)     41
  72     (10)     7
  73     (97)     58
  78     (23)     13
  79     (90)     54
  80     (81)     48
  81     (24)     14
  89     (44)     26
  90     (27)     16
  95     (64)     38
  97     (60)     36
  1     (90)     26
  8     (63)     23
  18     (92)     27
  19     (98)     35
  26     (5)     1
  30     (91)     27
  32     (98)     29
  37     (77)     167
  45     (94)     204
  47     (26)     15
  50     (59)     21
  52     (49)     18
  54     (57)     20
  69     (13)     3
  70     (22)     7
  74     (31)     10
  75     (86)     25
  77     (29)     11
  85     (28)     8
  94     (19)     5
  96     (42)     13


 Total bought 5326
 Total payout 3456
