Ticket (bought) Payout
  2     (8)     4
  5     (25)     11
  7     (21)     8
  10     (47)     23
  11     (81)     36
  13     (7)     3
  14     (59)     137
  23     (80)     36
  24     (89)     39
  27     (41)     18
  31     (31)     12
  39     (96)     44
  40     (50)     22
  43     (11)     4
  44     (57)     26
  48     (87)     44
  55     (22)     15
  59     (33)     17
  60     (95)     42
  61     (35)     17
  63     (68)     31
  72     (10)     4
  73     (97)     45
  78     (23)     9
  79     (90)     39
  80     (81)     35
  81     (24)     10
  89     (44)     20
  90     (27)     11
  95     (64)     28
  97     (60)     26
  1     (90)     138
  8     (63)     104
  18     (92)     141
  19     (98)     307
  26     (5)     8
  30     (91)     150
  32     (98)     335
  37     (77)     119
  45     (94)     144
  47     (26)     40
  50     (59)     93
  52     (49)     76
  54     (57)     89
  69     (13)     20
  70     (22)     40
  74     (31)     57
  75     (86)     135
  77     (29)     44
  85     (28)     43
  94     (19)     29
  96     (42)     65
  4     (57)     54
  6     (12)     1
  9     (26)     5
  12     (88)     8
  15     (80)     156
  16     (94)     8
  17     (1)     0
  20     (5)     4
  22     (34)     3
  25     (99)     19
  29     (94)     10
  33     (20)     6
  34     (95)     6
  35     (53)     12
  36     (15)     1
  38     (32)     3
  42     (97)     7
  56     (99)     9
  66     (64)     5
  67     (73)     7
  68     (74)     8
  71     (34)     3
  82     (41)     3
  83     (5)     0
  86     (80)     6
  87     (86)     6
  88     (79)     6
  92     (89)     6
  99     (19)     1
  0     (26)     70
  3     (95)     105
  21     (55)     60
  28     (16)     17
  41     (83)     96
  46     (9)     10
  49     (78)     198
  51     (49)     131
  53     (77)     88
  57     (20)     22
  58     (12)     12
  62     (43)     50
  64     (43)     53
  65     (84)     93
  76     (82)     93
  84     (76)     86
  91     (15)     17
  93     (20)     23
  98     (66)     75


 Total bought 5326
 Total payout 4655
